Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,7.2,7.0,6.9,6.7,6.5,6.8,6.3,6.2,6.2,6.3,6.2,6.1
2014,5.8,5.9,6.2,5.6,5.8,5.3,5.6,5.6,5.5,5.4,5.3,5.1
2015,5.0,4.9,4.9,5.0,5.1,4.7,4.8,4.6,4.6,4.6,4.6,4.5
2016,4.5,4.5,4.7,4.6,4.3,4.4,4.1,4.4,4.4,4.4,4.3,4.3
2017,4.3,4.2,4.0,4.1,4.1,3.9,3.9,4.0,3.9,3.7,3.7,3.8
2018,3.6,3.7,3.7,3.6,3.4,3.6,3.6,3.5,3.3,3.4,3.5,3.5
2019,3.6,3.4,3.4,3.2,3.3,3.3,3.3,3.3,3.1,3.2,3.3,3.3
2020,3.2,3.1,4.0,15.5,13.8,11.2,10.5,8.3,7.8,6.5,6.2,6.3
2021,6.0,5.9,5.7,5.6,5.3,5.5,5.0,4.8,4.3,4.3,3.9,3.6
2022,3.6,3.6,3.3,3.2,3.4,3.3,3.1,3.3,3.1,3.4,3.3,3.2
2023,3.1,3.2,3.1,3.1,3.3,3.1,3.1,,,,,
